# EFIGI_SDSS.txt version 1.6.2 :
#
#        This file contains the PGC name, 
#        the unique SDSS photometric identifier and SDSS spectroscopic identifier,
#        the SDSS redshift, uncertainty and confidence level,
#	 for the 4458 galaxies of the EFIGI catalogue
#
# Table provided from http://efigi.org 
#
# Any use of these data must reference :
#  Baillard, B., Bertin, E., de Lapparent, V., et al. 2011, A&A, 532, A74
#
# Comments on table content should be sent to the EFIGI user forum: http://efigi.org/forum
# or to Valerie de Lapparent (lapparen at iap.fr) and Emmanuel Bertin (bertin at iap.fr)
#
###########################################################################################################################
#
# Description  
#--------------
#
#      PGC_name	     PGC name		
#      objID	     Unique SDSS photometric identifier composed from skyVersion, rerun, run, camcol, field, obj
#      specObjID     Unique SDSS spectroscopic identifier
#      z  	     Redshift 
#      zErr  	     Uncertainty in redshift 
#      zConf         Confidence level in redshift 
#
# Notes  
#-------
#
#    Objects are ordered with increasing PGC number
#    Undefined values of SDSS photometric and spectroscopic identifiers are listed as "none"
#    Undefined values of z, zErr and zConf are listed as -99.99
#    
###########################################################################################################################
#
# PGC_name       objId            SpecObjId             z         zErr         zConf
PGC0003584 587727177919037514 185434501088804864     0.01807   0.0001554      0.9998
PGC0003620 587727227307294770 185434501965414400     0.01521   0.0001835      0.9969
PGC0003781 587731512067621043 111686639780102144     0.01741   9.058e-05      0.9725
PGC0003817 588015508202651704 111686639561998336     0.01791   0.0001835      0.9993
PGC0003830 587731512604622918 111686639532638208     0.05068    0.000195      0.9994
PGC0003833 588015508202717203 111686639717187584     0.01708   0.0001995      0.9993
PGC0003904 587731513678496034        none             -99.99      -99.99      -99.99
PGC0003960 587724197741592622 119004967775240192     0.03808   0.0001012      0.9946
PGC0003976 588015510350463115 111686641231331328     0.01789   0.0001997      0.9992
PGC0004116 587724198278660350 119004967334838272     0.03839    0.000181      0.9992
PGC0004124 587724198278725724 119004967343226880     0.03755   0.0001699      0.9993
PGC0004363 588015508740440128 111968019747438592     0.01767   0.0002846      0.9232
PGC0004367 588015510351118339        none             -99.99      -99.99      -99.99
PGC0004368 588015508740505613 111968019760021504     0.01879   0.0001713      0.9994
PGC0004376 588015508740505635        none             -99.99      -99.99      -99.99
PGC0004415 587731512605605983 112249474096562176     0.01722   0.0001584      0.9997
PGC0004416 588015510351184049        none             -99.99      -99.99      -99.99
PGC0004484 587731511531995165        none             -99.99      -99.99      -99.99
PGC0004485 587731514216349733 195849316416356352        -100        -100      -99.99
PGC0004500 588015509814444216 112249474423717888      0.0448   0.0002007      0.9994
PGC0004540 587731511532060697 112249473974927360    0.004991   5.944e-05      0.9691
PGC0004608 587731514216546476 195849316949032960        -100        -100      -99.99
PGC0004647 587727226772258858 185997585268342784    0.006458   1.099e-05      0.8403
PGC0004663 587727227846000830 185997585050238976     0.01352   0.0001825      0.9233
PGC0004734 587731512606195859 112249473446445056     0.01744   0.0001118      0.9833
PGC0004793 587724233178742881        none             -99.99      -99.99      -99.99
PGC0004805 587731512606326893 112249473257701376    0.006004    0.000155      0.9638
PGC0004812 588015508741292125 112249473085734912     0.04684   0.0001613      0.9986
PGC0004897 587724234252615707 119568270238941184     0.01716   0.0001152      0.9373
PGC0004899 587727180068814890        none             -99.99      -99.99      -99.99
PGC0004906 587731512069586982 196130820719640576        -100        -100      -99.99
PGC0004979 588015510352101409        none             -99.99      -99.99      -99.99
PGC0004992 587731511532847214 112531069261053952     0.02715   0.0001728      0.9991
PGC0005055 588015508204748833 112531068816457728     0.02754   0.0001832      0.9995
PGC0005056 588015508741619729 112531068803874816     0.02481   9.562e-05      0.9985
PGC0005078 587724233716006970 119568270620622848     0.03415   0.0001923      0.9976
PGC0005220 588015510352363782        none             -99.99      -99.99      -99.99
PGC0005261 587724233179332712 119568271304294400      0.0219   0.0001728      0.9995
PGC0005270 587724198817235075 119568269186170880     0.03696     0.00018      0.9986
PGC0005271 587724199354105954        none             -99.99      -99.99      -99.99
PGC0005291 588015509278752889 112531070175412224     0.01706   0.0001076      0.9562
PGC0005298 587724199354106073 119568271333654528     0.05263   0.0001908      0.9882
PGC0005326 588015507668140113 112531068548022272     0.01803   0.0001568      0.9996
PGC0005330 587731513143853173 112531070183800832    0.006462   0.0001166      0.7328
PGC0005366 588015509815689440 112531070322212864     0.01798   0.0001588      0.3108
PGC0005415 587724197743755391 119568268896763904     0.01509   3.549e-05      0.3693
PGC0005436 588015507668336696 196412368933093376        -100        -100      -99.99
PGC0005449 588015507668336710 112531068250226688     0.01744   0.0001454      0.9997
PGC0005527 587724232105984180 119568268921929728     0.02116    0.000161      0.9993
PGC0005539 587731511533568042 112531068074065920     0.01847   0.0001558      0.9994
PGC0005540 587731512070438934 112531068149563392     0.01824   0.0001666      0.9997
PGC0005574 588015507668598795 112531068057288704     0.01732   0.0001869      0.9989
PGC0005645 587724232643117158        none             -99.99      -99.99      -99.99
PGC0005673 587724232643117117        none             -99.99      -99.99      -99.99
PGC0005688 587731511533830192 112812557131055104     0.01809   0.0001789      0.9989
PGC0005771 588015508205797426 112812556942311424     0.01553   0.0001065      0.9939
PGC0005776 588015509279539305        none             -99.99      -99.99      -99.99
PGC0005792 587724231569637480 119849765528666112    0.009387   0.0002045       0.975
PGC0005803 588015507668992138        none             -99.99      -99.99      -99.99
PGC0005830 588015507669057650 112812556745179136      0.0155   0.0001507      0.9991
PGC0005838 587731511534092352 112812556795510784     0.01634   0.0001723      0.9991
PGC0005932 587727229984964656 186560404703412224     0.01956   0.0001723      0.9995
PGC0005939 587731513681772657 112812558330626048     0.01726    9.87e-05      0.9989
PGC0006004 587727231058903061        none             -99.99      -99.99      -99.99
PGC0006005 587724233180643460 120131173509758976     0.03531   0.0002058      0.9674
PGC0006090 587731514218971191 112812558427095040     0.01659   0.0001756      0.9993
PGC0006155 587727179533975631 186841872709189632     0.04212   0.0002078       0.999
PGC0006193 587724233180971106 120131173878857728     0.02717   8.707e-05       0.984
PGC0006292 587724232644296723 120975331690545152    0.002474   0.0001415      0.9998
PGC0006309 587724231570620458 120975331434692608    0.002814   9.546e-05           1
PGC0006318 587724198282264689        none             -99.99      -99.99      -99.99
PGC0006364 587724198282330199        none             -99.99      -99.99      -99.99
PGC0006450 587727178460823601        none             -99.99      -99.99      -99.99
PGC0006504 587727180071632940        none             -99.99      -99.99      -99.99
PGC0006505 587727231596757023 187123472495804416     0.01301   0.0001118      0.9817
PGC0006516 587724233718431830        none             -99.99      -99.99      -99.99
PGC0006627 587724232108081358        none             -99.99      -99.99      -99.99
PGC0006628 587724198282854450        none             -99.99      -99.99      -99.99
PGC0006636 587724232644952205        none             -99.99      -99.99      -99.99
PGC0006637 587727229449470022 187123470390263808    0.005408   0.0001093      0.9998
PGC0006657 587724197746049057 120975330637774848     0.01681   0.0001753      0.9995
PGC0006667 587727178461216862 187123470398652416    0.006628   8.427e-06      0.9458
PGC0006670 587724197209243659 120975330444836864     0.02626    0.000174      0.9995
PGC0006671 587727177924345886 187123470344126464    0.005872   0.0001657      0.9995
PGC0006673 587724231571341317 120975330449031168     0.01695   0.0002276      0.9978
PGC0006678 587724197209243762 120975330390310912     0.03344    8.53e-05      0.9996
PGC0006826 587727229986603057 187404920469585920    0.006225   0.0001128      0.9784
PGC0006832 587727229986603140 187404920486363136     0.04315   0.0001964      0.9952
PGC0006835 587731511535992933 113375390768037888     0.04266   0.0001993      0.9992
PGC0006855 587724197746311361 121257051077738496     0.01613   9.915e-05       0.997
PGC0006861 587727231597281340 187404921144868864     0.01795   0.0001875      0.9992
PGC0006888 587731513146671215 113375392210878464     0.05918    0.000184      0.9994
PGC0006982 587724197209636898        none             -99.99      -99.99      -99.99
PGC0006986 588015507671154815 113375390247944192     0.05952   0.0001635      0.9996
PGC0007022 587724199893991702 121257051555889152     0.02643   0.0002052      0.9617
PGC0007042 587724234256089275 121257051702689792     0.01705    9.27e-05      0.9488
PGC0007046 588015508208091496 113375389933371392     0.01582   0.0001211      0.6738
PGC0007063 587724198283509786 121257050612170752     0.02074   0.0001544      0.9995
PGC0007064 587727229986996335 187404920020795392     0.05235   0.0002098      0.9992
PGC0007090 587731512610127885 113657200978690048     0.01854   0.0001929      0.9991
PGC0007114 587724198283575324 121257050490535936     0.02131   0.0001396      0.9996
PGC0007118 587727179535614004        none             -99.99      -99.99      -99.99
PGC0007210 587727178461937751 187404919727194112     0.02709   0.0001115      0.9853
PGC0007246 587724232108933278 121257050255654912     0.02552   0.0001708      0.9989
PGC0007262 587727179535745084        none             -99.99      -99.99      -99.99
PGC0007328 587731512073519138 197256677198659584        -100        -100      -99.99
PGC0007341 587724233719546027 121257052466053120     0.02641   0.0001741      0.9992
PGC0007366 587727178999005237 187686313871278080     0.01796   0.0001646      0.9994
PGC0007465 588015509819228215 113657202027266048     0.02334   0.0001601      0.9994
PGC0007485        none               none             -99.99      -99.99      -99.99
PGC0007533 587724233183002767 121257052679962624     0.01538   0.0001217      0.9657
PGC0007536 587724233183002650 121257052671574016     0.01537   0.0001752      0.9995
PGC0007574 588015508745617514 113657200169189376     0.02777   0.0001523      0.9997
PGC0007632 587727179536269325 187686313556705280     0.01586   0.0001722      0.9993
PGC0007654 587725552825925871 139834877590634496    0.003814    0.000267      0.6005
PGC0007740 587731512610914367 113938422598467584     0.01989   8.211e-05      0.9993
PGC0007741 587731512610914392 113938422543941632     0.01943   0.0001746      0.9991
PGC0007748 588015507672137765 197538066313773056        -100        -100      -99.99
PGC0007806 587727178462724159        none             -99.99      -99.99      -99.99
PGC0007835 587727882282926087        none             -99.99      -99.99      -99.99
PGC0007846 587724234257137746 120412726118842368     0.01218   0.0001724      0.9995
PGC0007856 587724234257137777 120412726072705024     0.01212   0.0001755      0.9994
PGC0007889 587727883893669902 187686315414781952     0.01783   0.0001729      0.9995
PGC0007905 587727177925984363 187686312910782464     0.00643   0.0001111      0.8832
PGC0007965 587724198284689493        none             -99.99      -99.99      -99.99
PGC0007966 587724232646787166 120412724126547968     0.02516   0.0001702      0.9977
PGC0007979 588015508209401994 113938422191620096     0.04245   0.0001071      0.9915
PGC0007998 587727882283188229 187967849057222656    0.006419   5.387e-06      0.8762
PGC0008014 587724232646852733 120694127082864640     0.02478   9.874e-05      0.9983
PGC0008029 588015508746338312 113938422028042240     0.04261    0.001655      0.9908
PGC0008060 587731511537696861 113938421839298560     0.02005   0.0001547      0.9994
PGC0008165 587724199895564295 120694127397437440     0.01481   0.0001686      0.9994
PGC0008182 587727781890031634        none             -99.99      -99.99      -99.99
PGC0008201 587727781890097155 187967849526984704     0.01289   0.0001733      0.9994
