PGC_name         RA        DEC          z_hel   z_hel_err   z_hel_cat       z_dis   z_dis_err   z_dis_cat       z_all  z_all_type  z_all_err  z_all_err_type   D_com       D_lum      D_diam
PGC0002149   8.9992500 -10.1217222     0.01994   3.336e-05          HL     0.01967      -99.99          HL     0.01967         DIS   3.336e-05         HEL     83.8195     85.4682     82.2025
PGC0002151   9.0079167  -9.8888889     0.01645   1.201e-05          HL     0.01619      -99.99          HL     0.01619         DIS   1.201e-05         HEL     69.1520     70.2716     68.0503
PGC0002182   9.1195833 -10.1050000     0.01961   1.935e-05          HL     0.01934      -99.99          HL     0.01934         DIS   1.935e-05         HEL     82.5449     84.1413     80.9787
PGC0002269   9.4891667  -9.2536111     0.01749   2.602e-05          HL     0.01723      -99.99          HL     0.01723         DIS   2.602e-05         HEL     73.6182     74.8867     72.3713
PGC0002288   9.5991250  15.0393056     0.01793   2.101e-05          HL     0.01807      -99.99          HL     0.01807         DIS   2.101e-05         HEL     77.0198     78.4115     75.6527
PGC0002331   9.7470833  -9.0025556     0.02027      -99.99         NED     0.02001      -99.99  NED-vir-HL     0.02001         DIS      -99.99        none     85.3063     87.0133     83.6328
PGC0002332   9.7508333  -9.0147778     0.02044   8.973e-05          HL     0.02018      -99.99          HL     0.02018         DIS   8.973e-05         HEL     86.1558     87.8945     84.4516
PGC0002352   9.8061250   0.8636944     0.01379      -99.99         NED     0.01369      -99.99  NED-vir-HL     0.01369         DIS      -99.99        none     58.5103     59.3113     57.7201
PGC0002357   9.8246250   0.9123611     0.01411   1.901e-05          HL     0.01402      -99.99          HL     0.01402         DIS   1.901e-05         HEL     59.7879     60.6261     58.9613
PGC0002365   9.8285833   0.8916667     0.01371   3.969e-05          HL     0.01361      -99.99          HL     0.01361         DIS   3.969e-05         HEL     58.0844     58.8749     57.3045
PGC0002388   9.8955417   0.8596944     0.01468   1.701e-05          HL     0.01459      -99.99          HL     0.01459         DIS   1.701e-05         HEL     62.3426     63.2522     61.4461
PGC0002391   9.8992500  -9.1943889     0.01638   1.601e-05          HL     0.01612      -99.99          HL     0.01612         DIS   1.601e-05         HEL     68.7265     69.8344     67.6362
PGC0002440  10.1582500  -0.3313333      0.0195   2.101e-05          HL     0.01938      -99.99          HL     0.01938         DIS   2.101e-05         HEL     82.7573     84.3611     81.1840
PGC0002482  10.3909583 -10.0219444      0.0132   3.536e-05          HL     0.01293      -99.99          HL     0.01293         DIS   3.536e-05         HEL     55.3157     56.0309     54.6096
PGC0002501  10.4599583  -9.3031944      0.0557   6.805e-05          HL     0.05544      -99.99          HL     0.05544         DIS   6.805e-05         HEL    234.7752    247.7911    222.4429
PGC0002522  10.5471250   0.9045278     0.01824   7.972e-05          HL     0.01814      -99.99          HL     0.01814         DIS   7.972e-05         HEL     77.4449     78.8497     76.0651
PGC0002527  10.5663750   0.8455000     0.01787   2.402e-05          HL     0.01777      -99.99          HL     0.01777         DIS   2.402e-05         HEL     75.7443     77.0903     74.4218
PGC0002597  10.8662917  -0.1254722     0.01391   2.268e-05          HL     0.01379      -99.99          HL     0.01379         DIS   2.268e-05         HEL     58.9362     59.7489     58.1345
PGC0002600  10.8851667  14.3424444     0.01487   1.735e-05          HL     0.01499      -99.99          HL     0.01499         DIS   1.735e-05         HEL     64.0454     65.0054     63.0995
PGC0002615  10.9665417   0.8018056     0.01821   1.101e-05          HL     0.01811      -99.99          HL     0.01811         DIS   1.101e-05         HEL     77.2323     78.6310     75.8585
PGC0002768  11.8310000  14.7031667     0.03926   0.0001197          HL     0.03939      -99.99          HL     0.03939         DIS   0.0001197         HEL    167.3806    173.9738    161.0374
PGC0002800  11.9433333  -9.8347222     0.01923   1.568e-05          HL     0.01896      -99.99          HL     0.01896         DIS   1.568e-05         HEL     80.8451     82.3780     79.3408
PGC0002805  11.9475000  -9.8991667    0.004486   5.671e-06          HL    0.004206      -99.99          HL    0.004206         DIS   5.671e-06         HEL     17.9722     18.0478     17.8970
PGC0002889  12.3989167   1.1151944     0.01746      -99.99         NED     0.01736      -99.99  NED-vir-HL     0.01736         DIS      -99.99        none     74.0435     75.3289     72.7800
PGC0003072  13.1168750  14.5180000     0.01826   1.034e-05          HL     0.01838      -99.99          HL     0.01838         DIS   1.034e-05         HEL     78.5076     79.9505     77.0907
PGC0003140  13.3741667  -8.7677778     0.01902   3.102e-05          HL     0.01875      -99.99          HL     0.01875         DIS   3.102e-05         HEL     79.9952     81.4951     78.5229
