PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0024996           5         0.5     .SAT5..        1.34        0.03       -9999       13.88        0.18        0.61        0.04        4389     0.01464
PGC0025001           9         1.1     .S..9*.        1.07        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025009          -2         0.9     .L.....           1        0.09         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025012           8         0.8     .SA.8*.        1.27        0.33         115      -99.99      -99.99      -99.99      -99.99        1732    0.005777
PGC0025020           1         1.6     .S..1?.        1.09        0.19         165       13.93        0.13        0.79        0.02        3931     0.01311
PGC0025065          -1         0.3     RLB.+P.        1.65        0.28          38       12.12         0.1        0.86        0.01         869    0.002899
PGC0025081           7         0.6     .SBS7*.        1.19        0.07          20      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025086           4           1     .S..4..        1.04        0.86          84      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025128           8         0.6     .SAT8*.        1.15        0.09         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025134           2         0.8     .SBR2..        1.02      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        7132     0.02379
PGC0025142         1.7         0.7     .SB.2*.         1.1        0.38         165      -99.99      -99.99      -99.99      -99.99        3778      0.0126
PGC0025143          -5         1.1     .E.1...        1.08        0.01       -9999        15.4         0.3        1.03        0.05        5123     0.01709
PGC0025144          -5         0.5     .E.3.*.        1.42        0.16         160       12.84        0.15        0.96        0.01        4886      0.0163
PGC0025147           7         0.9     .S..7..        1.06        0.44          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025154           6         1.4     .S..6*.        1.13        0.93          91      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025161           2         0.3     .SBT2..        1.56        0.38         107       12.72        0.13        0.97        0.01        3972     0.01325
PGC0025172          -1         0.4     RLBR+..        1.11         0.1          30        12.7         0.2        0.87        0.04        3537      0.0118
PGC0025185          10         0.8     .I..9..        1.12        0.21         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025194           2         0.9     .S..2..        1.08        0.29         120      -99.99      -99.99      -99.99      -99.99        9415     0.03141
PGC0025210           2         0.8     .SB.2..         1.2         0.3          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025224           3         0.8     .S..3..        1.06        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025225           2         0.7     PSXS2..        1.33      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        3785     0.01263
PGC0025226          -2         1.6     .L...?.        1.18        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025232           8         1.2     .S..8*.        1.61        1.01         115      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025235           6         1.5     .S..6*.        1.06        0.95         136      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025237           5         0.5     .SXT5*.        1.34        0.13          23       12.73        0.15        0.42        0.02        2299    0.007669
PGC0025248           3         0.5     .SBR3*.        1.46        0.26         178       12.75        0.13        0.67        0.01        1833    0.006114
PGC0025258           3         0.8     .SBT3..         1.3        0.31         125      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025280          -2         0.7     .L..0*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        3725     0.01243
PGC0025281          10         0.5     .I..9P$        1.13        0.59         133      -99.99      -99.99      -99.99      -99.99        3197     0.01066
PGC0025282           3         0.8     .SBS3..         1.1        0.17       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025283           3         0.8     .SBS3..        1.13        0.06         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025284         9.9         0.6     .I..9P*        0.93        0.14       -9999      -99.99      -99.99      -99.99      -99.99        3081     0.01028
PGC0025290           3         0.8     .S..3..         1.2         0.1         177      -99.99      -99.99      -99.99      -99.99        9036     0.03014
PGC0025292           8         1.3     .S..8*.        1.18        0.78          32      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025305           2         0.9     .S..2..        1.02        0.35          40      -99.99      -99.99      -99.99      -99.99        4873     0.01625
PGC0025308           5         0.9     .S..5..        1.36        0.92          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025318           6         1.4     .S..6*.        1.14        0.98          67      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025328           0         0.8     .S..0..        1.11        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025331           5         0.8     .SXS5..        1.26        0.05           2      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025341           6         1.5     .S..6*.        1.07        1.01         178      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025352          -2         1.8     .L...?.         0.9        0.18       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025360           3         0.9     .S..3..        1.04        0.13          60      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025369           6         1.4     .S..6*.        1.05        0.93          81      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025399           3         0.5     .SXT3$P        1.09        0.45          94       14.13        0.14        0.86        0.02       -9999      -99.99
PGC0025402          10         0.9     .I..9*P        0.34      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025405           6         1.4     .S..6*.        0.96         0.8         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025406           4         0.9     .S..4..        1.15        0.35         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025423           6         1.2     .S..6*.        1.27        0.62          75      -99.99      -99.99      -99.99      -99.99        4277     0.01427
PGC0025426           6         1.3     .S..6*.        1.07         0.5          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025467           0         0.9     .S..0..        1.04        0.28          43      -99.99      -99.99      -99.99      -99.99        2980     0.00994
PGC0025472           7           1     .S..7..        1.16        0.84          33      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025496           8         1.2     .S..8*.        1.06        0.16         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025498           1           1     .S..1?.         1.2        0.46          87      -99.99      -99.99      -99.99      -99.99        1413    0.004713
PGC0025521          10         0.9     .I..9..           1        0.33          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025524          -2         0.8     .L.....        1.11        0.07          25        14.2         0.2        1.08        0.03        7233     0.02413
PGC0025525           5         0.7     .SX.5..        1.34        0.05       -9999      -99.99      -99.99      -99.99      -99.99        2644    0.008819
PGC0025533           1         0.8     .SBT1..        1.21        0.03       -9999      -99.99      -99.99      -99.99      -99.99        7025     0.02343
PGC0025545           8         0.9     .SB.8..        0.98        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025547           3         0.9     PSBT3..         1.1        0.25          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025556           6         1.2     .S..6*.        1.28        0.52         127      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025562          10         1.2     .I..9*.        1.34         0.7         140      -99.99      -99.99      -99.99      -99.99        2156    0.007192
PGC0025571          -5         0.9     .E.....        0.88        0.32         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025596           6         1.5     .S..6*.        0.96        0.98          81      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025600           3         0.9     .S..3..        0.91      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       11293     0.03767
PGC0025640           5         0.5     .SAS5*.        1.48        0.29          87       12.03        0.17        0.59        0.02        1273    0.004246
PGC0025644           8         0.9     .S..8..        1.33        0.65           6      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025646          -2         0.8     .L.....        1.32        0.28         107      -99.99      -99.99      -99.99      -99.99        3827     0.01277
PGC0025679           9         1.1     .S..9*.        1.28        0.04       -9999       14.49        0.18        0.55        0.06       -9999      -99.99
PGC0025683           2         0.9     .SB.2*.        1.06        0.27       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025718          -3         1.2     .L..-*.           1        0.14          50          14         0.2        0.96        0.02        6944     0.02316
PGC0025726           6         0.8     .SA.6..        1.04        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025735           2         0.9     .S..2..        1.13        0.39         132      -99.99      -99.99      -99.99      -99.99        4178     0.01394
PGC0025757           3         0.8     .S..3..        1.24        0.18           0      -99.99      -99.99      -99.99      -99.99        4019     0.01341
PGC0025781           6         1.8     .SBS6?.        1.21         0.5         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025806           5         0.5     .SAS5*.        1.58        0.52         148       12.77        0.13        0.55        0.03        1955    0.006521
PGC0025836           3         0.8     .SBS3P$        1.19        0.39          90      -99.99      -99.99      -99.99      -99.99        7602     0.02536
PGC0025845           6         0.9     .SAT6*.        1.02        0.02       -9999      -99.99      -99.99      -99.99      -99.99        3923     0.01309
PGC0025847           3           1     .S..3..           1        0.94       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025858           6         1.2     .S..6*.        1.08        0.28         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025861           2         0.3     .SAR2..        1.63        0.11         155       11.03         0.1         0.9        0.01        1340     0.00447
PGC0025870           1         0.9     .S..1..        1.24        0.62         146      -99.99      -99.99      -99.99      -99.99        4820     0.01608
PGC0025875           2         0.8     PSBR2..        1.35        0.08       -9999      -99.99      -99.99      -99.99      -99.99        5053     0.01685
PGC0025876           2         1.8     .S..2$.        0.93        0.15       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025910           7         0.8     .SA.7..        1.39        0.59          98      -99.99      -99.99      -99.99      -99.99        2198    0.007332
PGC0025911           7         0.8     .SX.7..        1.02      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025915          -5         0.3     .E.6.*.        1.91        0.28          95       10.84         0.1        0.97        0.01        1335    0.004453
PGC0025919           8         0.9     .SB.8..        0.98        0.26          90      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025940           9         1.6     .S..9?.        1.32         0.2         160       14.91        0.16        0.39        0.05       -9999      -99.99
PGC0025946           5         0.3     .SXT5..        1.48        0.05       -9999       12.14        0.13        0.52        0.01        2618    0.008733
PGC0025955          -5         0.8     .E.....        1.15        0.14          40       13.35        0.13        0.93        0.01        2019    0.006735
PGC0025956           7         0.9     .SB.7*.         1.2        0.42          98      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025972           9         0.9     .S..9..        0.96        0.15         100      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025976           4         0.8     .SX.4*.        1.15         0.1         170      -99.99      -99.99      -99.99      -99.99        4017      0.0134
PGC0025977           8         1.2     .S..8*.        1.14        0.39          40      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0025986           6         1.2     .SB.6*.        1.18        0.29          63      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026000          -3         1.3     .L..-*.        1.04        0.15         145      -99.99      -99.99      -99.99      -99.99        7618     0.02541
PGC0026002           1         0.9     .S..1..        1.15         0.4         148      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026012           3         0.9     .S..3..        1.27         0.9          77      -99.99      -99.99      -99.99      -99.99        6721     0.02242
PGC0026013          -5         0.8     .E.....        1.32        0.13         168        13.6        0.15      -99.99      -99.99        6696     0.02234
PGC0026015           1         0.9     .SB.1..        0.99         0.3          77      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026034           1         0.3     .SXT1P.        1.54        0.13       -9999        12.3        0.13        0.67        0.01        2532    0.008446
PGC0026048           4           1     .S..4..        1.02         0.7          68      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026055          -2         1.6     .L...?.        1.38        0.55          35      -99.99      -99.99      -99.99      -99.99        6909     0.02305
PGC0026058           3         1.4     .S..3*.        1.04        0.67          51      -99.99      -99.99      -99.99      -99.99        7474     0.02493
PGC0026068           7         0.8     .SXS7..        1.23         0.1          85      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026083           9         0.9     .SBS9..        1.23        0.44          20        15.4        0.15        0.23        0.05       -9999      -99.99
PGC0026086           3         0.9     .SB.3..        1.29           1          12      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026089           0         0.8     .S..0..        1.29      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        6303     0.02102
PGC0026100          10         1.7     .I..9?.        1.18        0.46         120      -99.99      -99.99      -99.99      -99.99        2737     0.00913
PGC0026104           9         0.9     .SB.9..        1.04        0.09       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026108           9         0.8     .SB.9..        1.24        0.42          25      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026127           2         0.9     .S..2..           1        0.21          35      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026142          10         0.8     .IA.9..        1.22        0.11          85      -99.99      -99.99      -99.99      -99.99         600    0.002001
PGC0026150           6         1.2     .SB.6*.           1        0.21          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026173           4         0.9     .S..4..        1.08        0.22         122      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026178           1         1.7     .S..1?.        1.06        0.21          80      -99.99      -99.99      -99.99      -99.99        6951     0.02319
PGC0026189           9         0.4     .SBS9P.         1.1        0.07       -9999      -99.99      -99.99      -99.99      -99.99        1677    0.005594
PGC0026197           3         0.9     .S..3..        1.07        0.46         163      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026218          -2         1.7     .L...?.         1.2        0.27         157      -99.99      -99.99      -99.99      -99.99        1531    0.005107
PGC0026224           9         0.9     .S..9..        1.17        0.57          38      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026225           3         0.9     .S..3..        0.87        0.11          25      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026232           1         0.4     .SBS1P.        1.41        0.42         160       13.04        0.16        0.72        0.05        1734    0.005784
PGC0026234           4         0.9     .S..4..        1.02        0.64         119      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026238           9         0.9     .SBS9$.        1.27        0.58         125      -99.99      -99.99      -99.99      -99.99        1863    0.006214
PGC0026246           1         0.8     .S..1..         1.3        0.59          48      -99.99      -99.99      -99.99      -99.99        2322    0.007745
PGC0026258         1.7         0.7     PSBT2?.        1.24        0.53          60      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026282           5         0.8     .SXT5..        1.13        0.13           5       14.47        0.15        0.78        0.04        8096     0.02701
PGC0026283           6         1.3     .S..6*.        0.89        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026294           6         1.4     .S..6*.        1.06        0.78          26      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026302          -5         0.8     .E.....        1.15        0.19          15      -99.99      -99.99      -99.99      -99.99        7622     0.02542
PGC0026304           9         0.7     .SA.9..         1.5        0.33          55       13.87         0.1      -99.99      -99.99       -9999      -99.99
PGC0026323          -3         1.7     .L..-?.        0.94        0.04         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026329           4         0.9     .SBS4..        1.04        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026330          -2         0.9     .L.....        0.97        0.17         160       14.23        0.13         0.9        0.01        2759    0.009203
PGC0026338           6         1.3     .S..6*.        0.91        0.18         115      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026340           1         0.9     .SB.1..        0.96        0.25          30      -99.99      -99.99      -99.99      -99.99        7092     0.02366
PGC0026345           1         1.3     .S..1*/        0.98        0.45       -9999      -99.99      -99.99      -99.99      -99.99        7847     0.02617
PGC0026346        -0.7         0.7     .L..+*/        1.18        0.73         143      -99.99      -99.99      -99.99      -99.99        6263     0.02089
PGC0026351           8         1.2     .S..8*.        1.19         0.6         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026357           3         0.8     .SBR3..        1.12        0.18          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026363           3           1     .S..3..        1.02        0.88           4      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026368           2         0.9     .SX.2..        1.06        0.24          58      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026371           0         0.5     .SB.0*/        1.13        0.64         112      -99.99      -99.99      -99.99      -99.99        6237      0.0208
PGC0026376          -5         0.5     .E.0...        1.14      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        5116     0.01707
PGC0026377          -4         0.3     .E+2.*.        1.37         0.1         160       12.87        0.13           1        0.01        6869     0.02291
PGC0026381           4           1     .S..4..        1.07        1.09         138      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026390           3         0.9     .S..3..        1.37        0.75         143      -99.99      -99.99      -99.99      -99.99        2265    0.007555
PGC0026398        -4.7         0.6     .E...*.        1.28        0.17          15        13.5         0.2        0.92        0.03        5125      0.0171
PGC0026403           1         0.9     .S..1..        0.95        0.27          62      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026407           7         1.3     .S..7*.        1.24        0.96         152      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026409           8         0.9     .S..8..        0.96        0.29         100      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026410           7         0.3     .SXT7..         1.8        0.12         125       11.52        0.15        0.49        0.06        1699    0.005667
PGC0026412           7         1.3     .S..7*.        1.19        0.65         122      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026418           4         0.9     .S..4..        0.91        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026443           8         1.4     .S..8*.           1        0.73         173      -99.99      -99.99      -99.99      -99.99        6541     0.02182
PGC0026445           4         0.9     .SBT4..        1.02        0.06       -9999      -99.99      -99.99      -99.99      -99.99        7477     0.02494
PGC0026469           3         1.8     .S..3*.        1.08        0.59         179        14.3         0.2        0.56        0.04        1673    0.005581
PGC0026471           3         0.9     .S..3..        1.24        0.86         148      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026485          90      -99.99     .I.0.P*        0.67        0.36       -9999        15.4         0.2         0.4        0.04        1448     0.00483
PGC0026495           6         1.3     .S..6*.         1.2        0.97         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026498           5         0.5     .SBS5P/        1.61        0.92          59       13.28        0.06        0.49        0.05        1581    0.005274
PGC0026501           1         0.6     .SAR1*.        1.19        0.31          13       13.75        0.13         0.8        0.01        1495    0.004987
PGC0026504          -2         1.1     .L...*.        1.08        0.11           0        14.2        0.16        0.99        0.03        7160     0.02388
PGC0026512           3         0.3     .SAR3*.        1.91        0.36         147       10.09         0.1        0.87        0.01         635    0.002118
PGC0026517           7         0.8     .SA.7..         1.2        0.13       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026528           3         0.9     .SB.3*.           1        0.39         172      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026538           7         1.3     .SX.7*.        0.97        0.22         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026540          10         1.2     .I..9*.           1        0.14         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026541           6         1.4     .S..6*.        1.08        0.87          31      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026543           4         0.9     .S..4..        0.95        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026553           5         0.9     .SXS5..        0.93        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026556           0         0.8     .S..0..        1.23         0.3         117      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026563           8         1.3     .S..8*.        1.06        0.53           4      -99.99      -99.99      -99.99      -99.99        2691    0.008976
PGC0026571           1         0.4     .SXR1$.        0.93        0.02       -9999      -99.99      -99.99      -99.99      -99.99        1835    0.006121
PGC0026575           9         0.9     .SX.9..        1.04        0.11          70      -99.99      -99.99      -99.99      -99.99        1607     0.00536
PGC0026576           4         0.7     .SXS4*.        1.16        0.48         130      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026580          -2         0.4     .LB..*.        1.23        0.28          25      -99.99      -99.99      -99.99      -99.99        1776    0.005924
PGC0026599           9         1.7     .S..9?.        1.02        0.17         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026607         3.5         0.6     .SBR4..        1.18        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026625           6         1.5     .S..6*.        1.06        1.01           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026631           3         0.9     .SBS3..        1.22        0.41          50      -99.99      -99.99      -99.99      -99.99        2732    0.009113
PGC0026642           6         1.3     .SB.6*.        0.99        0.31         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026643           6         1.3     .S..6*.           1        0.33          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026649          -1         0.3     RLBR+..        1.63        0.05          85       11.83        0.13        0.93        0.01        1659    0.005534
PGC0026663          10         1.2     .I..9*.        1.12        0.15         130      -99.99      -99.99      -99.99      -99.99        1890    0.006304
PGC0026666           5         0.3     .SAS5..        1.35        0.05       -9999        12.9         0.2        0.63        0.05        4864     0.01622
PGC0026685           1         0.9     .SB.1..        1.16         0.4         108      -99.99      -99.99      -99.99      -99.99        4247     0.01417
PGC0026721           6         1.4     .S..6*.           1        0.84         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026727           8         1.5     .S..8*.           1        1.02          38      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026733          -5         0.4     .E.2...        1.32        0.06          22       12.86        0.13        0.99        0.01        3014     0.01005
PGC0026739           1         0.8     .S..1*.        0.91        0.44         174      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026740           4         0.4     .SBR4..        1.38        0.51          43       13.36        0.15        0.85        0.02        3659     0.01221
PGC0026752           6         1.2     .S..6*.        1.33        0.68          79      -99.99      -99.99      -99.99      -99.99        1682    0.005611
PGC0026759           1         1.3     .SB.1*.        1.02        0.35          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026762           4           1     .S..4..           1        0.73         173      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026766           3         0.8     .S..3..         1.2        0.24         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026785          -2         0.8     .L.....        1.04        0.15          15      -99.99      -99.99      -99.99      -99.99        4316      0.0144
PGC0026787           2           1     .S..2..        1.05        0.67         122      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026817           4         0.8     .SBR4..        1.24        0.05       -9999      -99.99      -99.99      -99.99      -99.99        8075     0.02694
PGC0026822           8         1.3     .S..8*.        1.06        0.56           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026854          -3         1.1     .L..-*.        1.17        0.03       -9999      -99.99      -99.99      -99.99      -99.99        8025     0.02677
PGC0026856           4         0.8     .S..4..        1.39        0.58         123      -99.99      -99.99      -99.99      -99.99        3221     0.01074
PGC0026871           6         1.4     .S..6*.        1.19        1.15         167      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026873           5         0.9     .SXR5..        1.08         0.1       -9999      -99.99      -99.99      -99.99      -99.99        7706      0.0257
PGC0026895          10         1.3     .I..9*.         1.1        0.67          11      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026899           8         1.3     .S..8*.        1.14        0.87         160      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026903           6         1.4     .S..6*.        1.06        0.79         158      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026904           8         0.8     .SB.8..        1.06      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026932           1         0.8     .S..1..        1.29         0.3          27      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026939          -3         0.4     .LB.-..        1.31        0.23         140       12.46        0.17        0.92        0.04        1551    0.005174
PGC0026950          -1         1.3     .L..+P*        1.01        0.11         125      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026959           8         1.3     .S..8*.        1.04        0.37          67      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0026970           3         0.8     PSBS3..        1.19        0.08         155      -99.99      -99.99      -99.99      -99.99        7455     0.02487
PGC0026974           6         1.1     .SB.6*.        1.23        0.07       -9999      -99.99      -99.99      -99.99      -99.99        5354     0.01786
PGC0026979           0         0.8     RSB.0..        1.05        0.04       -9999       13.91        0.17        0.67        0.02        1672    0.005577
PGC0026982           4         0.9     .SXT4..        0.93        0.03       -9999      -99.99      -99.99      -99.99      -99.99       13728     0.04579
PGC0026998          -2         0.8     .L.....        1.04        0.09          15      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027016           4         0.9     .SB.4..        1.02        0.26          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027029           5         0.9     .S..5..        1.08        0.49         124      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027041           1         0.9     .SB.1..        0.99        0.25         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027047           3         1.3     .SB.3*.        0.97        0.26          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027049           0         1.7     .S..0?.        1.03      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027059           6         1.4     .S..6*.        0.96        0.69         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027064           1         1.8     .S..1?.        1.02        0.11          45      -99.99      -99.99      -99.99      -99.99       12777     0.04262
PGC0027074           6         1.2     .S..6*.        1.16        0.23          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027079           9         1.2     .S..9*.           1        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027091          10         1.1     .I..9*.           1        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027108           3         0.8     .SB.3..        1.23        0.42          77      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027111        -3.5         0.6     .E+..P*        1.15      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027121           4         0.8     .S..4..        1.18        0.19         175      -99.99      -99.99      -99.99      -99.99        7357     0.02454
PGC0027154           4         0.9     .SB.4..        1.01        0.18         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027166           8         1.3     .S..8*.        1.22        0.55       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027169           5         0.9     .SX.5..        0.87      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027219           3         0.8     .SBS3..        1.08        0.22          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027248           7         0.8     .SB.7..        1.25        0.52          47      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027261          10         1.2     .I..9*.        0.99         0.1         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027266           2         0.9     .SB.2..        1.11        0.19         143      -99.99      -99.99      -99.99      -99.99        8075     0.02694
PGC0027282          -5         0.8     .E.....        1.15        0.14          65      -99.99      -99.99      -99.99      -99.99        6789     0.02265
