PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0002527           0         0.9     PSBR0*.         1.1        0.17          62      -99.99      -99.99      -99.99      -99.99        5355     0.01786
PGC0002597           6         0.4     .SXT6..         1.2        0.24         175        13.7         0.2      -99.99      -99.99        4109     0.01371
PGC0002600           5         0.8     .SXT5..        1.21      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        4449     0.01484
PGC0002615           1         0.9     .SBS1P?        1.13        0.29         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0002768           2         0.9     .S..2..        0.95        0.17          90      -99.99      -99.99      -99.99      -99.99       11622     0.03877
PGC0002800           3         1.2     PSB.3*.        1.23        0.57       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0002805         6.7           1     .SB.7P/        1.48        0.82       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0002889         5.5         0.9     .S..6*/        1.28         0.9         128      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003072           6         1.2     .S..6*.        1.18        0.42         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003140           1         0.9     PSBR1*.        1.05        0.31          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003232           9         1.2     .S..9*.           1        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003312          -5         1.2     .E...*.        1.04        0.18          10      -99.99      -99.99      -99.99      -99.99       13270     0.04426
PGC0003314           6         1.2     .S..6*.        1.03        0.11         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003355          -2         1.7     .L...?.           1        0.14           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003377           5         0.3     .SXR5..        1.48        0.08       -9999        12.5        0.13        0.56        0.01        5649     0.01884
PGC0003451          -5         1.7     .E...?.        0.66        0.22       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003496           9         1.8     .SBS9?/        1.11         0.6       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
